cust_id,DOB,Gender,city_code,cluster,recency,frequency,monetary,R,F,M,Avg_M
268408,02-01-1970,M,4,4,324,11,26592.93,4,4,4,19173.63854545453
269696,07-01-1970,F,8,3,851,3,10985.91,1,2,3,8349.663481675392
268159,08-01-1970,F,8,4,612,6,17888.84,2,4,4,18373.700098684218
270181,10-01-1970,F,2,0,93,10,25681.31,4,4,4,19173.63854545453
268073,11-01-1970,M,1,1,338,3,9432.28,4,2,2,8625.839160714288
273216,15-01-1970,F,5,1,710,4,6816.74,1,3,2,11626.62583333333
266929,15-01-1970,M,8,1,794,1,3752.58,1,1,1,4086.0280243161073
275152,16-01-1970,M,4,2,420,3,7379.19,3,2,2,8562.528684210523
275034,18-01-1970,F,4,1,554,7,22113.26,2,4,4,18373.700098684218
273966,21-01-1970,M,8,1,982,1,1200.03,1,1,1,4086.0280243161073
270829,22-01-1970,F,8,3,447,5,18415.93,3,3,4,12421.787426829273
266997,23-01-1970,M,9,0,460,3,12833.47,3,1,3,5046.3047916666665
272455,25-01-1970,M,7,1,1017,2,7354.88,1,1,2,4086.0280243161073
274593,26-01-1970,M,10,4,744,6,29568.69,1,4,4,18241.637869565224
273391,29-01-1970,F,2,1,516,4,7418.97,2,3,2,12204.505801630432
267657,29-01-1970,F,7,0,433,5,16605.94,3,3,4,12421.787426829273
271344,29-01-1970,F,5,1,438,3,3748.16,3,2,1,8562.528684210523
268275,01-02-1970,F,7,5,154,5,17274.47,4,3,4,12006.586156914895
274630,01-02-1970,M,4,2,395,5,8806.85,3,3,2,12421.787426829273
273541,01-02-1970,M,4,4,337,4,4226.62,4,3,1,12006.586156914895
270324,01-02-1970,F,1,1,568,3,2139.28,2,2,1,8535.667553763442
273613,06-02-1970,M,1,1,908,1,8016.77,1,1,2,4086.0280243161073
271608,09-02-1970,F,4,1,288,3,5298.48,4,2,1,8625.839160714288
269008,13-02-1970,F,6,3,456,4,10129.53,3,2,3,8562.528684210523
267199,14-02-1970,,2,3,371,5,8448.83,3,3,2,12421.787426829273
267609,18-02-1970,M,2,1,730,4,14442.35,1,2,3,8349.663481675392
270602,18-02-1970,M,5,0,535,6,14465.56,2,4,3,18373.700098684218
272883,19-02-1970,M,5,1,372,7,18130.84,3,4,4,18339.582083333327
272359,19-02-1970,M,4,1,531,3,7215.65,2,2,2,8535.667553763442
272603,19-02-1970,F,9,5,504,4,12509.7,2,3,3,12204.505801630432
272028,20-02-1970,F,1,1,124,2,5370.3,4,1,1,4952.719853801169
274717,21-02-1970,M,7,1,1105,1,1748.11,1,1,1,4086.0280243161073
273316,21-02-1970,M,2,1,1037,3,1155.83,1,2,1,8349.663481675392
271262,21-02-1970,M,2,2,338,3,12059.97,4,2,3,8625.839160714288
267166,22-02-1970,F,4,1,1219,1,3769.16,1,1,1,4086.0280243161073
270827,04-03-1970,F,10,5,1219,1,245.31,1,1,1,4086.0280243161073
273423,04-03-1970,F,4,5,478,6,24442.6,3,4,4,18339.582083333327
271692,07-03-1970,M,5,1,185,2,4496.24,4,1,1,4952.719853801169
274592,08-03-1970,M,5,1,376,4,12990.38,3,3,3,12421.787426829273
271777,08-03-1970,M,8,1,612,1,4253.15,2,1,1,4827.6917469879545
266895,12-03-1970,M,4,3,425,6,20114.31,3,3,4,12421.787426829273
274360,14-03-1970,M,5,3,246,2,5304.0,4,1,1,4952.719853801169
274602,15-03-1970,F,3,2,444,4,8968.18,3,3,2,12421.787426829273
266799,16-03-1970,F,5,3,93,4,9958.26,4,2,3,8625.839160714288
272821,17-03-1970,F,3,5,367,3,8565.96,4,2,2,8625.839160714288
267379,21-03-1970,F,2,5,155,7,14489.86,4,4,3,19173.63854545453
273016,22-03-1970,M,3,1,347,3,11152.76,4,2,3,8625.839160714288
273106,23-03-1970,F,2,0,340,7,7235.54,4,4,2,19173.63854545453
271935,26-03-1970,M,5,5,184,5,12335.11,4,3,3,12006.586156914895
273109,27-03-1970,F,5,1,1011,2,1430.97,1,1,1,4086.0280243161073
270986,27-03-1970,M,10,3,1062,2,7674.23,1,1,2,4086.0280243161073
273871,29-03-1970,M,7,0,184,1,3964.74,4,1,1,4952.719853801169
273811,29-03-1970,M,8,0,533,3,10190.31,2,2,3,8535.667553763442
271312,01-04-1970,F,5,4,293,8,14506.44,4,4,3,19173.63854545453
274834,02-04-1970,M,4,1,1077,3,10336.17,1,2,3,8349.663481675392
271991,02-04-1970,M,5,0,461,2,8207.94,3,1,2,5046.3047916666665
269765,04-04-1970,F,9,5,943,2,2492.88,1,1,1,4086.0280243161073
272071,06-04-1970,F,6,5,1283,1,1193.4,1,1,1,4086.0280243161073
272645,14-04-1970,F,2,1,548,7,27682.46,2,4,4,18373.700098684218
270780,18-04-1970,F,3,2,307,5,14153.94,4,3,3,12006.586156914895
272736,19-04-1970,F,1,5,1264,2,3968.05,1,1,1,4086.0280243161073
272627,19-04-1970,F,3,1,798,5,12928.5,1,3,3,11626.62583333333
272795,22-04-1970,M,1,1,245,3,3655.34,4,2,1,8625.839160714288
270450,24-04-1970,F,3,5,373,6,8740.55,3,4,2,18339.582083333327
266862,24-04-1970,F,5,0,496,4,12750.59,2,2,3,8535.667553763442
274535,26-04-1970,F,4,1,508,6,7259.85,2,4,2,18373.700098684218
269640,29-04-1970,M,7,2,393,6,15779.4,3,4,4,18339.582083333327
268290,29-04-1970,M,7,5,850,4,6280.82,1,2,2,8349.663481675392
275250,02-05-1970,F,1,4,488,7,19999.4,2,4,4,18373.700098684218
272555,03-05-1970,M,1,3,382,5,9394.71,3,3,2,12421.787426829273
268732,06-05-1970,M,2,3,432,4,9861.02,3,2,3,8562.528684210523
271478,06-05-1970,F,1,5,734,3,10277.6,1,2,3,8349.663481675392
267529,09-05-1970,M,4,1,744,4,20557.42,1,2,4,8349.663481675392
271066,10-05-1970,M,8,2,373,6,28008.44,3,4,4,18339.582083333327
267819,10-05-1970,F,9,2,752,4,3345.94,1,2,1,8349.663481675392
269271,12-05-1970,F,5,2,773,2,8890.83,1,1,2,4086.0280243161073
273150,14-05-1970,F,10,0,359,4,14056.71,4,3,3,12006.586156914895
267386,15-05-1970,M,7,1,676,3,7796.88,2,1,2,4827.6917469879545
