transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,prod_cat,prod_subcat,DOB,Gender,city_code
25374972356,268904,2011-01-02,2,6,5,821,431.025,4536.025,MBR,Home and kitchen,Furnishing,25-05-1990,M,5
28972634039,275227,2011-01-02,9,3,1,-334,35.07,369.07,MBR,Electronics,Cameras,23-09-1989,M,4
21830961921,267482,2011-01-02,10,3,4,455,191.1,2011.1,MBR,Electronics,Audio and video,29-07-1978,M,7
40160825556,268800,2011-01-02,4,2,4,339,142.38,1498.38,MBR,Footwear,Kids,23-11-1975,M,6
45127479223,273949,2011-01-02,3,5,1,366,38.43,404.43,MBR,Books,Comics,25-01-1974,M,4
95376486237,269403,2011-01-02,4,3,5,673,353.325,3718.325,MBR,Electronics,Mobiles,09-11-1986,M,8
56968056759,270659,2011-01-02,6,5,4,1476,619.92,6523.92,MBR,Books,DIY,27-08-1972,M,10
93464684850,267903,2011-01-03,11,5,3,143,45.045,474.045,MBR,Books,Children,08-02-1990,M,7
68693892858,275224,2011-01-03,12,6,4,-264,110.88,1166.88,MBR,Home and kitchen,Tools,26-05-1980,M,4
29746555103,273713,2011-01-04,5,3,2,1367,287.07,3021.07,MBR,Electronics,Computers,03-08-1989,M,7
8409124667,268910,2011-01-04,4,2,1,882,92.61,974.61,MBR,Footwear,Kids,14-08-1987,M,10
49952801533,268385,2011-01-05,12,6,5,1403,736.575,7751.575,MBR,Home and kitchen,Tools,27-07-1971,M,4
40366841154,269218,2011-01-05,12,6,2,513,107.73,1133.73,MBR,Home and kitchen,Tools,06-04-1971,M,8
70277687740,272230,2011-01-06,2,6,5,114,59.85,629.85,MBR,Home and kitchen,Furnishing,28-04-1990,M,3
68771978510,270602,2011-01-06,8,3,3,957,301.455,3172.455,MBR,Electronics,Personal Appliances,18-02-1970,M,5
22237771977,270074,2011-01-07,11,5,4,-1112,467.04,4915.04,MBR,Books,Children,20-02-1983,M,10
8319557357,269402,2011-01-07,11,6,2,390,81.9,861.9,MBR,Home and kitchen,Bath,12-01-1982,M,3
80796835946,269441,2011-01-07,1,1,2,414,86.94,914.94,MBR,Clothing,Women,06-12-1978,M,2
36285129970,273664,2011-01-08,4,2,5,327,171.675,1806.675,MBR,Footwear,Kids,13-12-1970,M,6
99048583237,267401,2011-01-08,1,2,5,151,79.275,834.275,MBR,Footwear,Men,09-03-1989,M,9
47349699355,273647,2011-01-08,4,2,5,1050,551.25,5801.25,MBR,Footwear,Kids,09-12-1971,M,7
3054230950,270258,2011-01-08,2,6,4,1112,467.04,4915.04,MBR,Home and kitchen,Furnishing,16-04-1978,M,1
54679700596,270253,2011-01-09,3,2,2,915,192.15,2022.15,MBR,Footwear,Women,28-12-1985,M,5
16599585793,268692,2011-01-09,7,5,1,216,22.68,238.68,MBR,Books,Fiction,28-08-1974,M,1
85867032160,274854,2011-01-09,4,1,1,183,19.215,202.215,MBR,Clothing,Men,07-02-1978,M,1
89710459325,269055,2011-01-09,1,4,4,-283,118.86,1250.86,MBR,Bags,Men,11-11-1977,M,4
9268189150,274092,2011-01-09,7,5,4,1145,480.9,5060.9,MBR,Books,Fiction,10-05-1971,M,9
59278003723,268796,2011-01-10,12,5,3,304,95.76,1007.76,MBR,Books,Academic,20-09-1989,M,10
5379212466,270078,2011-01-10,1,1,4,1303,547.26,5759.26,MBR,Clothing,Women,29-11-1979,M,4
64656295205,269483,2011-01-11,3,1,2,1442,302.82,3186.82,MBR,Clothing,Kids,03-10-1986,M,2
97452374447,271260,2011-01-11,8,3,3,1181,372.015,3915.015,MBR,Electronics,Personal Appliances,07-02-1989,M,7
31286059614,270692,2011-01-11,4,4,5,1489,781.725,8226.725,MBR,Bags,Women,13-01-1980,M,10
73390601127,269060,2011-01-11,12,6,3,368,115.92,1219.92,MBR,Home and kitchen,Tools,27-08-1985,M,5
11162256719,268608,2011-01-12,1,2,5,727,381.675,4016.675,MBR,Footwear,Men,05-05-1973,M,8
5589578142,274092,2011-01-12,3,1,2,284,59.64,627.64,MBR,Clothing,Kids,10-05-1971,M,9
28972634039,275227,2011-01-25,9,3,1,334,35.07,369.07,MBR,Electronics,Cameras,23-09-1989,M,4
42161597232,267094,2011-01-25,3,1,3,147,46.305,487.305,MBR,Clothing,Kids,24-11-1992,M,9
85115299378,271020,2011-01-25,2,6,4,1052,441.84,4649.84,MBR,Home and kitchen,Furnishing,20-06-1976,M,8
48395882744,270004,2011-01-26,10,6,3,482,151.83,1597.83,MBR,Home and kitchen,Kitchen,01-01-1980,M,7
20856242007,271432,2011-01-26,10,5,2,639,134.19,1412.19,MBR,Books,Non-Fiction,20-11-1981,M,5
37782911224,267318,2011-01-26,7,5,3,1440,453.6,4773.6,MBR,Books,Fiction,05-12-1987,M,7
62759761254,268956,2011-01-28,5,3,1,1306,137.13,1443.13,MBR,Electronics,Computers,28-05-1984,M,6
13076741550,270544,2011-01-29,4,3,5,745,391.125,4116.125,MBR,Electronics,Mobiles,24-05-1979,M,6
66904043240,269089,2011-01-31,4,1,2,1205,253.05,2663.05,MBR,Clothing,Men,29-03-1980,M,3
42161597232,267094,2011-01-31,3,1,3,-147,46.305,487.305,MBR,Clothing,Kids,24-11-1992,M,9
59250200497,267768,2011-01-31,8,3,4,85,35.7,375.7,MBR,Electronics,Personal Appliances,20-12-1981,M,3
12933894691,272706,2011-01-31,1,4,5,361,189.525,1994.525,MBR,Bags,Men,09-03-1974,M,8
26132662566,275168,2011-01-31,2,6,1,1233,129.465,1362.465,MBR,Home and kitchen,Furnishing,29-04-1992,M,5
26747114674,267813,2011-01-31,11,5,4,888,372.96,3924.96,MBR,Books,Children,15-12-1990,M,7
30547632789,267244,2011-01-31,9,3,5,432,226.8,2386.8,MBR,Electronics,Cameras,16-06-1977,M,2
85791691847,271876,2011-02-02,3,1,2,618,129.78,1365.78,MBR,Clothing,Kids,23-06-1992,M,6
59882994389,270291,2011-02-03,3,2,1,313,32.865,345.865,MBR,Footwear,Women,10-02-1972,M,8
79730796043,269154,2011-02-03,11,6,3,-848,267.12,2811.12,MBR,Home and kitchen,Bath,22-08-1983,M,7
88409222901,272882,2011-02-03,7,5,2,1324,278.04,2926.04,MBR,Books,Fiction,22-01-1983,M,4
39096363737,269330,2011-02-04,5,3,5,1087,570.675,6005.675,MBR,Electronics,Computers,04-01-1979,M,7
6600297722,272473,2011-02-04,10,3,1,1361,142.905,1503.905,MBR,Electronics,Audio and video,25-11-1981,M,7
58153336308,273873,2011-02-04,3,2,2,572,120.12,1264.12,MBR,Footwear,Women,06-09-1979,M,2
4239177822,272217,2011-02-05,5,3,4,191,80.22,844.22,MBR,Electronics,Computers,15-09-1978,M,10
88807980698,271565,2011-02-05,9,3,4,1345,564.9,5944.9,MBR,Electronics,Cameras,22-11-1975,M,8
3822533468,271262,2011-02-06,4,4,4,1441,605.22,6369.22,MBR,Bags,Women,21-02-1970,M,2
68771978510,270602,2011-02-06,8,3,3,-957,301.455,3172.455,MBR,Electronics,Personal Appliances,18-02-1970,M,5
95770657494,267704,2011-02-06,5,3,3,76,23.94,251.94,MBR,Electronics,Computers,22-07-1983,M,6
25866100166,270252,2011-02-06,10,6,5,-273,143.325,1508.325,MBR,Home and kitchen,Kitchen,02-03-1971,M,5
92204084589,269307,2011-02-07,5,3,2,814,170.94,1798.94,MBR,Electronics,Computers,03-09-1975,M,1
21620598613,272271,2011-02-07,10,6,2,312,65.52,689.52,MBR,Home and kitchen,Kitchen,16-01-1990,M,3
43221851655,268323,2011-02-07,12,6,3,877,276.255,2907.255,MBR,Home and kitchen,Tools,17-05-1987,M,8
70367745576,269881,2011-02-09,10,5,5,178,93.45,983.45,MBR,Books,Non-Fiction,25-11-1982,M,10
71461830314,267653,2011-02-09,10,5,5,456,239.4,2519.4,MBR,Books,Non-Fiction,14-10-1987,M,5
41612305681,274573,2011-02-09,3,2,1,1027,107.835,1134.835,MBR,Footwear,Women,26-08-1992,M,7
28615995425,272019,2011-02-09,9,3,5,925,485.625,5110.625,MBR,Electronics,Cameras,14-03-1977,M,2
44224290610,270874,2011-02-10,4,4,3,414,130.41,1372.41,MBR,Bags,Women,17-09-1973,M,9
23428679037,273306,2011-02-10,11,5,4,867,364.14,3832.14,MBR,Books,Children,28-12-1988,M,3
47088974738,270845,2011-02-10,10,5,1,1445,151.725,1596.725,MBR,Books,Non-Fiction,18-11-1991,M,2
47289432838,272882,2011-02-10,4,4,5,639,335.475,3530.475,MBR,Bags,Women,22-01-1983,M,4
81510252335,274703,2011-02-11,2,6,5,676,354.9,3734.9,MBR,Home and kitchen,Furnishing,29-01-1978,M,2
49942700530,268578,2011-02-12,3,1,1,901,94.605,995.605,MBR,Clothing,Kids,24-12-1970,M,7
49682635372,267322,2011-02-13,9,3,2,524,110.04,1158.04,MBR,Electronics,Cameras,10-01-1977,M,10
18603942404,266856,2011-02-13,10,5,4,304,127.68,1343.68,MBR,Books,Non-Fiction,11-10-1985,M,1
52428431282,271768,2011-02-13,12,5,1,1215,127.575,1342.575,MBR,Books,Academic,23-04-1991,M,7
88773729094,270861,2011-02-14,7,5,5,552,289.8,3049.8,MBR,Books,Fiction,14-10-1971,M,4
71709765978,267971,2011-02-15,4,1,3,408,128.52,1352.52,MBR,Clothing,Men,02-09-1990,M,2
21628494794,268279,2011-02-15,2,6,3,604,190.26,2002.26,MBR,Home and kitchen,Furnishing,06-03-1978,M,3
61229179827,270091,2011-02-15,9,3,4,1359,570.78,6006.78,MBR,Electronics,Cameras,20-04-1982,M,4
10233976543,268415,2011-02-15,3,2,5,332,174.3,1834.3,MBR,Footwear,Women,10-11-1973,M,9
71698756633,272165,2011-02-16,9,3,2,752,157.92,1661.92,MBR,Electronics,Cameras,01-12-1990,M,4
49944283848,272949,2011-02-16,3,2,3,1142,359.73,3785.73,MBR,Footwear,Women,08-08-1978,M,8
2509585377,270581,2011-02-18,4,1,2,819,171.99,1809.99,MBR,Clothing,Men,04-09-1976,M,4
85058121593,271601,2011-02-18,1,4,5,323,169.575,1784.575,MBR,Bags,Men,20-07-1981,M,5
25470701738,272471,2011-02-19,10,6,4,1462,614.04,6462.04,MBR,Home and kitchen,Kitchen,23-09-1980,M,8
13448223619,274293,2011-02-19,12,6,5,389,204.225,2149.225,MBR,Home and kitchen,Tools,13-10-1989,M,2
71698756633,272165,2011-02-19,9,3,2,-752,157.92,1661.92,MBR,Electronics,Cameras,01-12-1990,M,4
53023644235,268654,2011-02-20,4,2,2,1488,312.48,3288.48,MBR,Footwear,Kids,26-04-1974,M,9
84072629443,275244,2011-02-20,1,4,2,1194,250.74,2638.74,MBR,Bags,Men,01-02-1979,M,8
75979728032,271496,2011-02-20,10,6,2,1015,213.15,2243.15,MBR,Home and kitchen,Kitchen,17-04-1977,M,5
58622514216,269965,2011-02-21,11,6,5,-94,49.35,519.35,MBR,Home and kitchen,Bath,09-08-1977,M,3
19882725179,274071,2011-02-21,11,5,5,662,347.55,3657.55,MBR,Books,Children,12-02-1981,M,5
29572879555,271042,2011-02-21,11,6,3,312,98.28,1034.28,MBR,Home and kitchen,Bath,08-02-1990,M,3
84072629443,275244,2011-02-21,1,4,2,-1194,250.74,2638.74,MBR,Bags,Men,01-02-1979,M,8
64704990484,272386,2011-02-21,8,3,5,931,488.775,5143.775,MBR,Electronics,Personal Appliances,08-03-1972,M,2
68693892858,275224,2011-02-22,12,6,4,264,110.88,1166.88,MBR,Home and kitchen,Tools,26-05-1980,M,4
94786891680,274152,2011-02-22,6,5,3,375,118.125,1243.125,MBR,Books,DIY,08-05-1975,M,2
62833158156,272241,2011-02-22,10,6,5,1098,576.45,6066.45,MBR,Home and kitchen,Kitchen,12-02-1990,M,8
10233976543,268415,2011-02-22,3,2,5,-332,174.3,1834.3,MBR,Footwear,Women,10-11-1973,M,9
13448223619,274293,2011-02-23,12,6,5,-389,204.225,2149.225,MBR,Home and kitchen,Tools,13-10-1989,M,2
18334402869,267248,2011-02-23,8,3,4,201,84.42,888.42,MBR,Electronics,Personal Appliances,29-09-1986,M,5
46557552371,269451,2011-02-23,10,3,5,1097,575.925,6060.925,MBR,Electronics,Audio and video,02-07-1982,M,4
28883459089,274924,2011-02-24,12,6,1,302,31.71,333.71,MBR,Home and kitchen,Tools,21-07-1990,M,9
11180697599,271565,2011-02-24,4,3,3,74,23.31,245.31,MBR,Electronics,Mobiles,22-11-1975,M,8
39265193468,271972,2011-02-24,4,3,3,480,151.2,1591.2,MBR,Electronics,Mobiles,04-09-1989,M,1
82881998503,273125,2011-02-24,4,4,3,198,62.37,656.37,MBR,Bags,Women,10-11-1991,M,10
68158806885,268543,2011-02-24,5,3,1,1351,141.855,1492.855,MBR,Electronics,Computers,19-11-1977,M,10
36887501268,268732,2011-02-25,4,1,4,1150,483.0,5083.0,MBR,Clothing,Men,06-05-1970,M,2
18334402869,267248,2011-02-26,8,3,4,-201,84.42,888.42,MBR,Electronics,Personal Appliances,29-09-1986,M,5
45733851962,271970,2011-02-26,4,3,2,1319,276.99,2914.99,MBR,Electronics,Mobiles,06-12-1977,M,3
49944283848,272949,2011-02-26,3,2,3,-1142,359.73,3785.73,MBR,Footwear,Women,08-08-1978,M,8
38391048536,268681,2011-02-27,10,6,4,749,314.58,3310.58,MBR,Home and kitchen,Kitchen,29-07-1973,M,8
79730796043,269154,2011-02-27,11,6,3,848,267.12,2811.12,MBR,Home and kitchen,Bath,22-08-1983,M,7
36182350159,272696,2011-02-28,8,3,5,198,103.95,1093.95,MBR,Electronics,Personal Appliances,22-01-1990,M,3
8849081499,273635,2011-02-28,6,5,4,560,235.2,2475.2,MBR,Books,DIY,14-09-1992,M,5
22766509250,272133,2011-03-03,3,1,4,77,32.34,340.34,MBR,Clothing,Kids,10-04-1991,M,4
20572741907,267618,2011-03-03,3,2,3,521,164.115,1727.115,MBR,Footwear,Women,08-01-1971,M,2
18042456272,273918,2011-03-03,10,5,5,707,371.175,3906.175,MBR,Books,Non-Fiction,28-08-1979,M,3
78481434762,267555,2011-03-03,4,4,3,1010,318.15,3348.15,MBR,Bags,Women,22-11-1984,M,1
72439946235,270943,2011-03-04,10,5,3,576,181.44,1909.44,MBR,Books,Non-Fiction,28-05-1990,M,7
46272188531,268961,2011-03-04,1,4,4,826,346.92,3650.92,MBR,Bags,Men,14-10-1976,M,3
43147382235,270912,2011-03-04,8,3,2,1213,254.73,2680.73,MBR,Electronics,Personal Appliances,21-05-1986,M,6
24830936180,268956,2011-03-05,8,3,5,1319,692.475,7287.475,MBR,Electronics,Personal Appliances,28-05-1984,M,6
37903203832,274972,2011-03-06,11,5,4,406,170.52,1794.52,MBR,Books,Children,18-12-1986,M,1
91010540185,274219,2011-03-07,1,2,2,441,92.61,974.61,MBR,Footwear,Men,24-01-1974,M,8
79157292820,267915,2011-03-07,1,1,4,500,210.0,2210.0,MBR,Clothing,Women,25-04-1974,M,8
64097555467,270239,2011-03-08,10,3,2,963,202.23,2128.23,MBR,Electronics,Audio and video,05-10-1990,M,9
42488077947,274069,2011-03-08,3,2,3,541,170.415,1793.415,MBR,Footwear,Women,27-01-1978,M,6
67384454495,267934,2011-03-09,3,1,5,-1154,605.85,6375.85,MBR,Clothing,Kids,03-04-1981,M,10
29075784875,267302,2011-03-09,12,5,3,1000,315.0,3315.0,MBR,Books,Academic,07-12-1981,M,9
22576495575,274593,2011-03-10,12,5,5,-1434,752.85,7922.85,MBR,Books,Academic,26-01-1970,M,10
37669746774,271168,2011-03-10,10,5,3,150,47.25,497.25,MBR,Books,Non-Fiction,25-09-1976,M,4
41684074123,272194,2011-03-10,2,6,2,1363,286.23,3012.23,MBR,Home and kitchen,Furnishing,12-09-1983,M,4
66101492551,274834,2011-03-11,1,4,5,735,385.875,4060.875,MBR,Bags,Men,02-04-1970,M,4
27897541714,274913,2011-03-11,10,3,4,143,60.06,632.06,MBR,Electronics,Audio and video,02-02-1971,M,8
58724500881,271595,2011-03-12,1,1,2,1031,216.51,2278.51,MBR,Clothing,Women,15-02-1974,M,5
99154380278,271841,2011-03-12,1,2,1,1478,155.19,1633.19,MBR,Footwear,Men,09-06-1987,M,10
46812685955,272286,2011-03-12,12,6,1,-223,23.415,246.415,MBR,Home and kitchen,Tools,13-05-1983,M,8
45430418765,270664,2011-03-13,8,3,5,449,235.725,2480.725,MBR,Electronics,Personal Appliances,11-01-1977,M,4
28000662142,271365,2011-03-13,1,4,3,1206,379.89,3997.89,MBR,Bags,Men,04-04-1983,M,3
94230183889,269196,2011-03-14,4,2,3,483,152.145,1601.145,MBR,Footwear,Kids,15-08-1975,M,8
98312438176,270433,2011-03-15,10,3,4,222,93.24,981.24,MBR,Electronics,Audio and video,19-09-1983,M,5
10039062598,271461,2011-03-16,11,6,1,1162,122.01,1284.01,MBR,Home and kitchen,Bath,16-12-1980,M,5
72989604321,269029,2011-03-16,4,3,4,1304,547.68,5763.68,MBR,Electronics,Mobiles,24-09-1986,M,5
85529253086,269111,2011-03-16,2,6,5,256,134.4,1414.4,MBR,Home and kitchen,Furnishing,20-05-1989,M,6
13026165746,267544,2011-03-17,8,3,2,-501,105.21,1107.21,MBR,Electronics,Personal Appliances,12-10-1984,M,7
60441334849,269066,2011-03-18,10,6,1,878,92.19,970.19,MBR,Home and kitchen,Kitchen,05-11-1978,M,6
19422756549,273520,2011-03-19,12,6,5,343,180.075,1895.075,MBR,Home and kitchen,Tools,25-07-1986,M,5
3198739183,270625,2011-03-20,12,5,2,1265,265.65,2795.65,MBR,Books,Academic,03-02-1992,M,6
69331955125,270892,2011-03-21,7,5,4,306,128.52,1352.52,MBR,Books,Fiction,03-07-1978,M,6
83026217384,274023,2011-03-21,10,6,2,746,156.66,1648.66,MBR,Home and kitchen,Kitchen,04-09-1980,M,10
96745567867,274591,2011-03-21,4,3,2,1046,219.66,2311.66,MBR,Electronics,Mobiles,28-10-1978,M,10
72989604321,269029,2011-03-21,4,3,4,-1304,547.68,5763.68,MBR,Electronics,Mobiles,24-09-1986,M,5
37010306044,274648,2011-03-22,1,1,5,87,45.675,480.675,MBR,Clothing,Women,13-02-1973,M,8
80753102512,274582,2011-03-22,10,6,2,390,81.9,861.9,MBR,Home and kitchen,Kitchen,20-10-1976,M,1
15611244722,270402,2011-03-25,10,6,1,1352,141.96,1493.96,MBR,Home and kitchen,Kitchen,15-07-1984,M,6
32232045678,271757,2011-03-25,8,3,1,1150,120.75,1270.75,MBR,Electronics,Personal Appliances,28-08-1984,M,7
30163219517,268054,2011-03-26,11,5,3,722,227.43,2393.43,MBR,Books,Children,26-03-1977,M,8
6693283237,275070,2011-03-26,1,1,3,544,171.36,1803.36,MBR,Clothing,Women,01-10-1985,M,8
