index,R,F,Avg_M,Count,RFM_Level
0,4,1,4952.719853801169,171,Potential
1,4,2,8625.839160714288,280,Champions
2,4,3,12006.586156914896,376,Can't Loose Them
3,4,4,19173.638545454534,550,Can't Loose Them
4,3,1,5046.304791666667,216,Promising
5,3,2,8562.528684210523,342,Loyal
6,3,3,12421.787426829273,410,Can't Loose Them
7,3,4,18339.582083333327,408,Can't Loose Them
8,2,1,4827.6917469879545,332,Needs Attention
9,2,2,8535.66755376344,372,Potential
10,2,3,12204.505801630432,368,Champions
11,2,4,18373.70009868422,304,Can't Loose Them
12,1,1,4086.0280243161073,658,Require Activation
13,1,2,8349.663481675392,382,Promising
14,1,3,11626.62583333333,222,Loyal
15,1,4,18241.637869565224,115,Can't Loose Them
